,r_bass,r_mid,r_treb
0.0,-0.2852168719146654,-0.31253175834974534,-0.1766661382548532
0.02144431845453784,-0.2,-0.2,-0.2
0.04288863690907568,-0.42203653426585147,-0.23470637806451322,-0.17241342045233568
0.06433295536361351,0.2,0.2,0.2
0.08577727381815135,-0.9216735523767143,-0.2507137383252419,-0.17411413544590762
0.1072215922726892,-0.2,-0.2,-0.2
0.12866591072722702,-0.9216735523767143,-0.22727030195045442,-0.203800451857438
0.15011022918176486,0.2,0.2,0.2
0.1715545476363027,-0.391150795999444,-0.28409375955651595,-0.18366626820024096
0.19299886609084055,-0.2,-0.2,-0.2
0.2144431845453784,-0.45482830939251584,-0.3039615694941299,-0.18749767162010778
0.23588750299991623,0.2,0.2,0.2
0.25733182145445405,-0.4653461145280244,-0.26853806636546723,-0.16489444784687116
0.2787761399089919,-0.2,-0.2,-0.2
0.30022045836352973,-0.9216735523767143,-0.3010396237299787,-0.14360718027700609
0.3216647768180676,0.2,0.2,0.2
0.3431090952726054,-0.36592171846940263,-0.3167639318040053,-0.1763015534644405
0.3645534137271432,-0.2,-0.2,-0.2
0.3859977321816811,-0.35331490250706343,-0.30033439755723185,-0.10076053717280957
0.4074420506362189,0.2,0.2,0.2
0.4288863690907568,-0.3655374602825183,-0.2976644567345168,-0.0730704836485683
0.4503306875452946,-0.2,-0.2,-0.2
0.47177500599983246,-0.3288900210301274,-0.2815706924075998,-0.0667212573253354
0.4932193244543703,0.2,0.2,0.2
0.5146636429089081,-0.35591808323237706,-0.30919443790077006,-0.07057145021955362
0.536107961363446,-0.2,-0.2,-0.2
0.5575522798179838,-0.36705744583834793,-0.32232016248842843,-0.08947142746385289
0.5789965982725216,0.2,0.2,0.2
0.6004409167270595,-0.3851162901697456,-0.2815080920886724,-0.11422061082730613
0.6218852351815973,-0.2,-0.2,-0.2
0.6433295536361352,-0.35967365381829464,-0.302542143689218,-0.10841477320747785
0.664773872090673,0.2,0.2,0.2
0.6862181905452108,-0.38429474153130955,-0.300544410677694,-0.09217126036269162
0.7076625089997487,-0.2,-0.2,-0.2
0.7291068274542865,-0.4237244712583745,-0.3036573528215542,-0.12975950602611735
0.7505511459088243,0.2,0.2,0.2
0.7719954643633622,-0.3558181627987926,-0.10865904778787243,-0.17188075815768794
0.7934397828179001,-0.2,-0.2,-0.2
0.8148841012724378,0.05848704263782721,0.04219499247480946,-0.06429621649125637
