,r_bass,r_mid,r_treb
0.0,-0.293875864329557,-0.2477192446071773,-0.5136694312934801
0.01431249500496489,-0.2,0.2,-0.2
0.02862499000992978,-0.425259387815838,-0.5436781135142457,-0.8706466633439355
0.042937485014894666,0.2,-0.2,0.2
0.05724998001985956,-0.4727090033337038,-0.6986490621663238,-0.804528683822795
0.07156247502482445,-0.2,0.2,-0.2
0.08587497002978933,-0.5205515471929139,-0.8584340130264456,-0.7664315410492987
0.10018746503475423,0.2,-0.2,0.2
0.11449996003971911,-0.6060597656184255,-0.8098597251144845,-0.960169131818813
0.128812455044684,-0.2,0.2,-0.2
0.1431249500496489,-0.5326575680794546,-0.10461124442300607,-0.47056847253416967
0.1574374450546138,0.2,-0.2,0.2
0.17174994005957867,-0.4904750940193808,-0.47047280342464326,-0.7813012587709477
0.18606243506454356,-0.2,0.2,-0.2
0.20037493006950846,-0.4683520718426994,-0.693011431284489,-0.6920799888195449
0.21468742507447333,0.2,-0.2,0.2
0.22899992007943823,-0.43679927976745586,-0.8523796066358065,-0.798635042322632
0.24331241508440313,-0.2,0.2,-0.2
0.257624910089368,-0.5413937336929163,-0.7634104706054138,-0.760997668836746
0.2719374050943329,0.2,-0.2,0.2
0.2862499000992978,-0.6340563041117514,-0.3152886063265942,-0.3469776411571527
0.3005623951042627,-0.2,0.2,-0.2
0.3148748901092276,-0.4135923964023965,-0.3317186401147118,-0.44457918451070444
0.32918738511419243,0.2,-0.2,0.2
0.34349988011915733,-0.4902446313423614,-0.486937961570385,-0.5658922372250609
0.35781237512412223,-0.2,0.2,-0.2
0.3721248701290871,-0.6231388778102226,-0.5311610254451082,-0.6131682950058026
0.386437365134052,0.2,-0.2,0.2
0.4007498601390169,-0.6692639231378625,-0.5471465879922245,-0.6362757616081577
0.41506235514398176,-0.2,0.2,-0.2
0.42937485014894666,-0.5648354143160628,-0.6203903206995334,-0.7648910159770066
0.44368734515391156,0.2,-0.2,0.2
0.45799984015887646,-0.3634174641298573,-0.3748305116048509,-0.5043995923007384
0.47231233516384136,-0.2,0.2,-0.2
0.48662483016880625,-0.3400811629235655,-0.4711877727790301,-0.6713595359601179
0.5009373251737711,0.2,-0.2,0.2
0.515249820178736,-0.4604446162379277,-0.7841332655093294,-0.6856487736147886
0.5295623151837009,-0.2,0.2,-0.2
0.5438748101886658,-0.5071203728861343,-0.8886578939364773,-0.7760851575671495
0.5581873051936307,0.2,-0.2,0.2
0.5724998001985956,-0.6258628408460327,-0.7395321454089285,-0.751185721025547
0.5868122952035605,-0.2,0.2,-0.2
0.6011247902085254,-0.6937856312251368,-0.24645264423779845,-0.3012994224758268
0.6154372852134903,0.2,-0.2,0.2
0.6297497802184552,-0.4248090795353634,-0.2867965871328719,-0.37515511817558495
0.64406227522342,-0.2,0.2,-0.2
0.6583747702283849,-0.4440131446583861,-0.6206714171416199,-0.5881734034201856
0.6726872652333498,0.2,-0.2,0.2
